Proizvajalec;Model;Gorivo;Moè (km);Menjalnik;Pogon;ABS;Navigacija;Klima;Parkirni senzor
BMW;BMW 316 (4-Gang) (4-Türer);Bencin;90;Roèni;Pogon na zadnja kolesa;NE;NE;DA;NE
BMW;BMW 316 (5-Gang) (4-Türer);Bencin;90;Roèni;Pogon na zadnja kolesa;NE;NE;DA;NE
BMW;BMW 316 Automatik (4-Türer);Bencin;90;Avtomatski;Pogon na zadnja kolesa;NE;NE;DA;NE
BMW;BMW 318i Kat. (4-Türer);Bencin;102;Roèni;Pogon na zadnja kolesa;NE;NE;DA;NE
BMW;BMW 318i Kat. Automatic (4-Türer);Bencin;102;Avtomatski;Pogon na zadnja kolesa;NE;NE;DA;NE
BMW;BMW 318i (4-Gang) (4-Türer);Bencin;105;Roèni;Pogon na zadnja kolesa;NE;NE;DA;NE
BMW;BMW 318i (5-Gang) (4-Türer);Bencin;105;Roèni;Pogon na zadnja kolesa;NE;NE;DA;NE
BMW;BMW 318i Automatic (4-Türer);Bencin;105;Avtomatski;Pogon na zadnja kolesa;NE;NE;DA;NE
BMW;BMW 325e Kat. (4-Türer);Bencin;122;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 325e Kat. Automatic (4-Türer);Bencin;122;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 320i (4-Türer);Bencin;125;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 320i Automatik (4-Türer);Bencin;125;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 325e Kat. (4-Türer);Bencin;129;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 325e Kat. Automatic (4-Türer);Bencin;129;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 320i (4-Türer);Bencin;129;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 320i Automatik (4-Türer);Bencin;129;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 320i Kat. (4-Türer);Bencin;129;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 320i Kat. Automatik (4-Türer);Bencin;129;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 323i (4-Türer);Bencin;150;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 323i Automatik (4-Türer);Bencin;150;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 325i Kat. (4-Türer);Bencin;170;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 325i Kat. Automatic (4-Türer);Bencin;170;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 325ix Kat. (4-Türer);Bencin;170;Roèni;Pogono na vsa kolesa;DA;NE;DA;NE
BMW;BMW 325ix Kat. Automatic (4-Türer);Bencin;170;Avtomatski;Pogono na vsa kolesa;DA;NE;DA;NE
BMW;BMW 325i (4-Türer);Bencin;171;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 325i Automatic (4-Türer);Bencin;171;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 325ix (4-Türer);Bencin;171;Roèni;Pogono na vsa kolesa;DA;NE;DA;NE
